titulo,link
Economia,https://exame.com/economia/
Investimentos,https://www.cnnbrasil.com.br/tudo-sobre/investimentos/
Mercado,https://www.cnnbrasil.com.br/tudo-sobre/mercado/
Cotações,https://www.cnnbrasil.com.br/cotacoes/bolsa/
Macroeconomia,https://www.cnnbrasil.com.br/economia/macroeconomia/
Japão Rebaixa Visão Sobre Economia Global Com As Tarifas Dos Eua   22/05/2025 Às 11:47,https://www.cnnbrasil.com.br/economia/macroeconomia/japao-rebaixa-visao-sobre-economia-global-com-as-tarifas-dos-eua/
"Economia Da Alemanha Está Estagnada Com Tarifas Dos Eua, Diz Bc Do País   22/05/2025 Às 11:41",https://www.cnnbrasil.com.br/economia/macroeconomia/economia-da-alemanha-esta-estagnada-com-tarifas-dos-eua-diz-bc-do-pais/
"Batalha Do Bce Contra A Inflação Está Quase No Fim, Mostra Ata   22/05/2025 Às 11:19",https://www.cnnbrasil.com.br/economia/macroeconomia/batalha-do-bce-contra-a-inflacao-esta-quase-no-fim-mostra-ata/
Ceo Do Jpmorgan Alerta Sobre Possível Estagnação E Inflação Alta Nos Eua   22/05/2025 Às 10:11,https://www.cnnbrasil.com.br/economia/macroeconomia/ceo-do-jpmorgan-alerta-sobre-possivel-estagnacao-e-inflacao-alta-nos-eua/
Bolsa De Valores,https://www.cnnbrasil.com.br/tudo-sobre/bolsa-de-valores/
"Dólar E Bolsa Oscilam, De Olho Em Bloqueios No Orçamento E Contas Públicas Dos Eua",https://g1.globo.com/economia/noticia/2025/05/22/dolar-ibovespa.ghtml
Mercado Pago,https://especiaispublicitarios.g1.globo.com/vqt-mercado-pago/
Mercado Imobiliário,https://g1.globo.com/go/goias/mercado-imobiliario/
As Ações Que A Xp Indica,https://lps.infomoney.com.br/masterclass-conheca-futuras-gigantes-bolsa-inscricao?utm_source=infomoney&utm_medium=hot-topic&utm_campaign=msc&utm_term=hiperlink&utm_content=menu
Mercados,https://www.infomoney.com.br/mercados/
Ibovespa,https://www.infomoney.com.br/cotacoes/b3/indice/ibovespa/
Juros Futuros,https://www.infomoney.com.br/ferramentas/juros-futuros-di/
Indicadores De Inflação,https://www.infomoney.com.br/ferramentas/inflacao/
Opções De Ações,https://www.infomoney.com.br/ferramentas/cotacoes-opcoes-de-acoes/
Simulador De Investimentos,https://www.infomoney.com.br/ferramentas/simulador-xp/
"Ibovespa: Após Máxima De 140 Mil, Índice Cai 1,6%",https://www.infomoney.com.br/mercados/ibovespa-apos-maxima-de-140-mil-indice-cai-16-e-vai-abaixo-de-138-mil-pontos/
Renda Fixa Descomplicadaentenda Como Aproveitar A Alta Dos Juros Para Multiplicar O Seu Dinheiro,https://lps.infomoney.com.br/renda-fixa-descomplicada-inscricao?utm_source=infomoney&utm_medium=contesp&utm_campaign=rfd&utm_term=hiperlink&utm_content=subhome
Day Trader Perdeu R$ 400 Mil Até Ganhar Solidez De Operação No Mercado Financeiro,https://www.infomoney.com.br/mercados/leandro-moore-da-perda-consistencia-perdi-r-400-mil-para-aprender/
"Ibovespa Ao Vivo: Bolsa Opera Sem Viés; Petr4 E Vale3 Recuam, E Bancos Avançam",https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-22052025/
Economista Da Xp: Corte No Orçamento Medirá Reação Do Mercado Em Relação Ao Governo,https://www.infomoney.com.br/mercados/economista-da-xp-corte-no-orcamento-medira-reacao-do-mercado-em-relacao-ao-governo/
"Batalha Do Bce Contra A Inflação Está Quase No Fim, Mostra Ata",https://www.infomoney.com.br/mercados/batalha-do-bce-contra-a-inflacao-esta-quase-no-fim-mostra-ata/
"Exame - Negócios, Economia, Tecnologia E Carreira",https://exame.com/
"Economia Da Argentina Cai 1,8% Na Comparação Mensal — Mas Cresce 5,6% Na Variação Anual",https://exame.com/economia/economia-da-argentina-cai-18-na-comparacao-mensal-mas-cresce-56-na-variacao-anual/
"Governo Corre Para Ressarcir Segurados Na Fraude Do Inss, Mas Esbarra Nas Complicações Jurídicas",https://exame.com/economia/governo-corre-para-ressarcir-segurados-na-fraude-do-inss-mas-esbarra-nas-complicacoes-juridicas/
Fraudes No Inss: Agu Diz Que Investigações Apontam Para Uso De Criptomoedas Para Esconder Desvios,https://exame.com/economia/fraudes-no-inss-agu-diz-que-investigacoes-apontam-para-uso-de-criptomoedas-para-esconder-desvios/
"Fazenda Eleva Projeção De Pib De 2025 Para 2,4%; Expectativa Para Inflação Sobe, Para 5%",https://exame.com/economia/fazenda-eleva-projecao-de-pib-de-2025-para-24-expectativa-para-inflacao-sobe-para-5/
Economiacigarro É O Produto Mais Contrabandeado Do Brasil,https://exame.com/webstories/economia/cigarro-e-o-produto-mais-contrabandeado-do-brasil
"Economia'A Globalização Acabou', Diz Ceo Da América Latina De Gigante Multinacional De Construção",https://exame.com/webstories/economia/a-globalizacao-acabou-diz-ceo-da-america-latina-de-gigante-multinacional-de-construcao
"Economiamoody'S Rebaixa Nota Dos Eua, Que Deixa De Ser 'Aaa', Por Causa Do Aumento Da Dívida Pública",https://exame.com/webstories/economia/moodys-rebaixa-nota-dos-eua-que-deixa-de-ser-aaa-por-causa-do-aumento-da-divida-publica
Economiaentenda As Novas Regras Para Trabalho Em Domingos E Feriados; Veja Quando Começa,https://exame.com/webstories/economia/entenda-as-novas-regras-para-trabalho-em-domingos-e-feriados-veja-quando-comeca
"Bc Manterá Juros Altos Por Período Que For Necessário Para Levar Inflação Para A Meta, Diz Galípolo",https://exame.com/economia/bc-mantera-juros-altos-por-periodo-que-for-necessario-para-levar-inflacao-para-a-meta-diz-galipolo/
Mercado Considera Ciclo De Alta De Juros Encerrado E Dúvida Paira Sobre Quando Selic Cairá,https://exame.com/economia/mercado-considera-ciclo-de-alta-de-juros-encerrado-e-duvida-paira-sobre-quando-selic-caira/
"Prévia Do Pib: Ibc-Br Sobe 0,8% Em Março, Acima Da Expectativa Do Mercado",https://exame.com/economia/previa-do-pib-ibc-br-sobe-08-em-marco-acima-da-expectativa-do-mercado/
Boletim Focus: Mercado Reduz Projeção Do Ipca De 2025 Pela 5ª Semana Consecutiva,https://exame.com/economia/boletim-focus-mercado-reduz-projecao-do-ipca-de-2025-pela-quinta-semana-consecutiva/
Guia De Investimentos,https://exame.com/invest/guia/
